Element,Concentration,New_Region
Calcium,0.0307538,"24,0.25"
Titanium,0,"24,0.25"
Chromium,0,"24,0.25"
Manganese,0,"24,0.25"
Iron,0.142294,"24,0.25"
Nickel,0.00221075,"24,0.25"
Promethium,0.00926776,"24,0.25"
Oxygen,0.59253,"24,0.25"
Sodium,0.0104473,"24,0.25"
Magnesium,0.100599,"24,0.25"
Aluminum,0.051027,"24,0.25"
Silicon,0.175751,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0.0013623,"24,0.25"
Potassium,0,"24,0.25"
Calcium,0.0316112,"24,0.25"
Titanium,0.000912084,"24,0.25"
Chromium,0.00252051,"24,0.25"
Manganese,0.00079521,"24,0.25"
Iron,0.0320724,"24,0.25"
Nickel,0.0003722,"24,0.25"
Oxygen,0.558988,"24,0.25"
Magnesium,0.230642,"24,0.25"
Aluminum,0.00327526,"24,0.25"
Silicon,0.1478,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0,"24,0.25"
Potassium,0,"24,0.25"
Calcium,0.00275492,"24,0.25"
Titanium,0,"24,0.25"
Chromium,0.000424682,"24,0.25"
Manganese,0.000401956,"24,0.25"
Iron,0.0549616,"24,0.25"
Nickel,0.000752546,"24,0.25"
Oxygen,0.567392,"24,0.25"
Magnesium,0.175949,"24,0.25"
Aluminum,0.00350632,"24,0.25"
Silicon,0.142235,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0,"24,0.25"
Potassium,0,"24,0.25"
Calcium,0.00176956,"24,0.25"
Titanium,0,"24,0.25"
Chromium,0.000454641,"24,0.25"
Manganese,0.000430312,"24,0.25"
Iron,0.106248,"24,0.25"
Nickel,0.00201409,"24,0.25"
Oxygen,0.590954,"24,0.25"
Magnesium,0.152863,"24,0.25"
Aluminum,0.0151389,"24,0.25"
Silicon,0.192783,"24,0.25"
Phosphorus,0,"24,0.25"
Sulfur,0.000670073,"24,0.25"
Potassium,0,"57,0.0"
Calcium,0.0107232,"57,0.25"
Titanium,0.000448627,"57,0.5"
Chromium,0.00371929,"57,0.75"
Manganese,0.00078228,"58,0.0"
Iron,0.0315509,"58,0.25"
Nickel,0.000366148,"58,0.5"
Oxygen,0.571321,"58,0.75"
Sodium,0.0254891,"59,0.0"
