Element,Concentration,New_Region
Magnesium,0.00174059,"527,0.25"
Aluminum,0.0133413,"527,0.25"
Silicon,0.0655536,"527,0.25"
Phosphorus,0.0949647,"527,0.25"
Sulfur,0.000659979,"527,0.25"
Potassium,0.000541318,"527,0.25"
Calcium,0.0607294,"527,0.25"
Titanium,0.000441869,"527,0.25"
Chromium,0.000814059,"527,0.25"
Manganese,0.00192624,"527,0.25"
Iron,0.00416868,"527,0.25"
Nickel,0.0010819,"530,0.25"
Bromine,0.0145659,"530,0.5"
Oxygen,0.694116,"530,0.75"
Magnesium,0.000830282,"531,0.0"
Aluminum,0.00524091,"531,0.25"
Silicon,0.278194,"531,0.5"
Phosphorus,0,"531,0.75"
Sulfur,0.00125927,"532,0.0"
Potassium,0.00258216,"532,0.25"
Calcium,0.00100761,"532,0.5"
Titanium,0.000843109,"532,0.75"
Chromium,0.00194158,"533,0.0"
Manganese,0.00257276,"533,0.25"
Iron,0.00831561,"533,0.5"
Nickel,0.00309648,"533,0.75"
Oxygen,0.68257,"534,0.0"
Magnesium,0.0936585,"534,0.0"
Aluminum,0.0165895,"534,0.0"
Silicon,0.160729,"534,0.0"
Phosphorus,0.0157552,"534,0.0"
Sulfur,0,"534,0.0"
Calcium,0.00558159,"534,0.0"
Manganese,0.00111052,"534,0.0"
Iron,0.0214843,"534,0.0"
Germanium,0.0025215,"534,0.0"
Oxygen,0.558897,"534,0.0"
Magnesium,0.0541329,"536,0.75"
Aluminum,0.00184204,"537,0.0"
Silicon,0.243181,"537,0.25"
Phosphorus,0.000801803,"537,0.5"
Sulfur,0.00309821,"537,0.75"
Chlorine,0.0266191,"538,0.0"
Potassium,0.000635291,"538,0.25"
Calcium,0.00247903,"538,0.25"
Titanium,0,"538,0.25"
Chromium,0,"538,0.25"
Manganese,0,"538,0.25"
Iron,0.0885073,"538,0.25"
Nickel,0.000846477,"538,0.25"
Bromine,0.0189594,"538,0.25"
Oxygen,0.536455,"538,0.25"
Magnesium,0.00284622,"538,0.25"
Aluminum,0.0633084,"538,0.25"
Silicon,0.310492,"538,0.25"
Phosphorus,0.00521347,"538,0.25"
Sulfur,0.000719468,"538,0.25"
Potassium,0.00590111,"538,0.25"
Calcium,0.0328139,"538,0.25"
Titanium,0.00722547,"542,0.25"
Chromium,0.00665577,"542,0.5"
Manganese,0.0062996,"542,0.75"
Iron,0.0173515,"543,0.0"
Nickel,0.00471767,"543,0.25"
Oxygen,0.6258,"543,0.5"
Sodium,0.011134,"543,0.75"
Magnesium,0.00947671,"544,0.0"
Aluminum,0,"544,0.25"
Silicon,0.120338,"544,0.5"
Phosphorus,0.102499,"544,0.75"
Sulfur,0.000798509,"545,0.0"
Potassium,0.00785929,"545,0.25"
Calcium,0.0600591,"545,0.25"
Titanium,0.00213847,"545,0.25"
Chromium,0.00443219,"545,0.25"
Manganese,0.00745779,"545,0.25"
Iron,0.0261355,"545,0.25"
Nickel,0.00174532,"545,0.25"
Ytterbium,0.0201266,"545,0.25"
Oxygen,0.569641,"545,0.25"
Aluminum,0.0114556,"545,0.25"
Silicon,0.0703926,"545,0.25"
Iron,0.348511,"545,0.25"
Oxygen,0.687993,"545,0.25"
Magnesium,0.00226314,"545,0.25"
Aluminum,0,"545,0.25"
Silicon,0.0901323,"549,0.0"
Phosphorus,0.0772826,"549,0.25"
Sulfur,0.00171623,"549,0.5"
Potassium,0.00140766,"549,0.75"
Calcium,0.04875,"550,0.0"
Titanium,0.00114905,"550,0.25"
Chromium,0.000529226,"550,0.5"
Manganese,0.00400724,"550,0.75"
Iron,0.00640567,"551,0.0"
Nickel,0.0126603,"551,0.25"
Bromine,0.0247925,"551,0.5"
Lanthanum,0.0340728,"551,0.75"
Gold,0.00683807,"552,0.0"
Oxygen,0.117955,"552,0.25"
Sodium,0.420378,"552,0.25"
Silicon,0.0299757,"552,0.25"
Phosphorus,0,"552,0.25"
Sulfur,0.0027161,"552,0.25"
Chlorine,0.399581,"552,0.25"
Manganese,0.00105698,"552,0.25"
Bromine,0.0283376,"552,0.25"
Oxygen,0.627814,"552,0.25"
Sodium,0.0191473,"552,0.25"
Magnesium,0.012072,"552,0.25"
Aluminum,0.0536517,"552,0.25"
Silicon,0.247111,"552,0.25"
Phosphorus,0.00338457,"552,0.25"
Sulfur,0.000653908,"552,0.25"
Potassium,0.00482704,"556,0.0"
Calcium,0.0146503,"556,0.25"
Titanium,0.00350243,"556,0.5"
Chromium,0.00080657,"556,0.75"
Manganese,0.00152682,"557,0.0"
Iron,0.0101381,"557,0.25"
Nickel,0.00071463,"557,0.5"
Oxygen,0.566055,"557,0.75"
Sodium,0.0184996,"558,0.0"
Aluminum,0.0180302,"558,0.25"
Silicon,0.0638355,"558,0.5"
Iron,0.33358,"558,0.75"
Carbon,0.0899787,"559,0.0"
Oxygen,0.480084,"559,0.25"
Magnesium,0.016813,"559,0.5"
Aluminum,0.030322,"559,0.75"
Silicon,0.0914981,"560,0.0"
Phosphorus,0.0141414,"560,0.25"
Sulfur,0.00273214,"560,0.5"
Potassium,0.000746972,"560,0.5"
Calcium,0.00218612,"560,0.5"
Titanium,0,"560,0.5"
Chromium,0.00449332,"560,0.5"
Manganese,0,"560,0.5"
Iron,0.225913,"560,0.5"
Nickel,0.00348349,"560,0.5"
Germanium,0.00362115,"560,0.5"
Bromine,0.0339867,"560,0.5"
Oxygen,0.670947,"560,0.5"
Magnesium,0.069828,"560,0.5"
Aluminum,0.000749606,"560,0.5"
Silicon,0.236787,"560,0.5"
Phosphorus,0.000652578,"560,0.5"
Sulfur,0.000630398,"560,0.5"
Potassium,0.00103411,"560,0.5"
Calcium,0.00201765,"560,0.5"
Titanium,0.00168826,"560,0.5"
Chromium,0.00194393,"560,0.5"
Manganese,0.00110394,"560,0.5"
Iron,0.0115835,"560,0.5"
Nickel,0.00103341,"560,0.5"
Carbon,0.22687,"560,0.5"
Oxygen,0.271348,"560,0.5"
Sodium,0.0611855,"560,0.5"
Magnesium,0.0123116,"560,0.5"
Aluminum,0.0854847,"560,0.5"
Silicon,0.0586259,"560,0.5"
Phosphorus,0.00096649,"560,0.5"
Sulfur,0.000933641,"560,0.5"
Chlorine,0.0667063,"560,0.5"
Potassium,0.00229733,"560,0.5"
Calcium,0.00373526,"560,0.5"
Titanium,0.00125018,"560,0.5"
Chromium,0.0120919,"560,0.5"
Manganese,0,"560,0.5"
Iron,0.107759,"560,0.5"
Nickel,0.00102034,"570,0.0"
Bromine,0.0779268,"570,0.25"
Thulium,0.00948717,"570,0.5"
Oxygen,0.593034,"570,0.75"
Magnesium,0.102623,"571,0.0"
Aluminum,0.0333477,"571,0.25"
Silicon,0.192909,"571,0.5"
Phosphorus,0,"571,0.75"
Sulfur,0,"572,0.0"
Chlorine,0.00887721,"572,0.25"
Potassium,0.000575056,"572,0.5"
Calcium,0.00224398,"572,0.75"
Titanium,0,"572,0.75"
Chromium,0.000864796,"572,0.75"
Manganese,0,"572,0.75"
Iron,0.0636094,"572,0.75"
Nickel,0.00191555,"572,0.75"
Oxygen,0.66051,"572,0.75"
Magnesium,0.0127808,"572,0.75"
Aluminum,0.00823211,"572,0.75"
Silicon,0.0790388,"572,0.75"
Phosphorus,0.093882,"575,0.25"
Sulfur,0,"575,0.5"
Potassium,0.00227131,"575,0.75"
Calcium,0.132946,"576,0.0"
Titanium,0.00139052,"576,0.0"
Chromium,0.00256177,"576,0.0"
Manganese,0.00161645,"576,0.0"
Iron,0.00477035,"576,0.0"
Nickel,0,"576,0.0"
Oxygen,0.582506,"576,0.0"
Magnesium,0.0093756,"576,0.0"
Aluminum,0.0327607,"576,0.0"
Silicon,0.136979,"576,0.0"
Phosphorus,0.0607205,"576,0.0"
Sulfur,0.00177748,"576,0.0"
Potassium,0.00291579,"579,0.0"
Calcium,0.0583121,"579,0.25"
Titanium,0.00119006,"579,0.5"
Chromium,0.00219245,"579,0.75"
Manganese,0.00207512,"580,0.0"
Iron,0.00408263,"580,0.25"
Nickel,0.0014569,"580,0.5"
Zinc,0.00653912,"580,0.75"
Bromine,0.0813115,"580,0.75"
Neodymium,0.0158047,"580,0.75"
Oxygen,0.488756,"580,0.75"
Magnesium,0.00240861,"580,0.75"
Aluminum,0.0651585,"580,0.75"
Silicon,0.216876,"580,0.75"
Phosphorus,0.000945408,"580,0.75"
Sulfur,0.000913275,"580,0.75"
Chlorine,0.0280828,"580,0.75"
Potassium,0.000749073,"580,0.75"
Calcium,0.0708834,"580,0.75"
Titanium,0.00366874,"580,0.75"
Chromium,0.00225298,"580,0.75"
Manganese,0.00266552,"580,0.75"
Iron,0.00786627,"580,0.75"
Nickel,0.00249521,"584,0.75"
Bromine,0.106278,"585,0.0"
Oxygen,0.698544,"585,0.25"
Sodium,0.0102125,"585,0.5"
Aluminum,0.0166926,"585,0.75"
Silicon,0.274551,"586,0.0"
Oxygen,0.662202,"586,0.25"
Sodium,0.0441248,"586,0.25"
Magnesium,0.00667677,"586,0.25"
Aluminum,0.0714962,"586,0.25"
Silicon,0.179201,"586,0.25"
Phosphorus,0.0058966,"586,0.25"
Sulfur,0.000632909,"586,0.25"
Potassium,0.00155734,"586,0.25"
Calcium,0.0136734,"586,0.25"
Titanium,0.00296622,"586,0.25"
Chromium,0.000780669,"586,0.25"
Manganese,0.000738893,"586,0.25"
Iron,0.00763197,"586,0.25"
Nickel,0.00242089,"586,0.25"
Oxygen,0.56875,"586,0.25"
Magnesium,0.0108144,"590,0.0"
Aluminum,0.038032,"590,0.25"
Silicon,0.157298,"590,0.5"
Phosphorus,0.0483903,"590,0.75"
Sulfur,0.000820098,"591,0.0"
Chlorine,0.0118671,"591,0.25"
Potassium,0.0013453,"591,0.5"
Calcium,0.0807128,"591,0.75"
Titanium,0.00109814,"592,0.0"
Chromium,0.00202312,"592,0.25"
Manganese,0.00382971,"592,0.5"
Iron,0.00423823,"592,0.75"
Nickel,0.00134438,"593,0.0"
Bromine,0.0694372,"593,0.25"
Oxygen,0.263911,"593,0.5"
Sodium,0.0299332,"593,0.75"
Silicon,0.0522864,"594,0.0"
Sulfur,0.0128805,"594,0.25"
Chlorine,0.0181209,"594,0.5"
Potassium,0.265291,"594,0.75"
Iron,0.0221887,"595,0.0"
Bromine,0.335388,"595,0.25"
Carbon,0.57007,"595,0.5"
Oxygen,0.328063,"595,0.75"
Sodium,0.0138915,"596,0.0"
Magnesium,0.00125119,"596,0.25"
Aluminum,0.00789779,"596,0.5"
Silicon,0.0563301,"596,0.75"
Phosphorus,0.000491108,"597,0.0"
Sulfur,0.00237208,"597,0.25"
Potassium,0.00505854,"597,0.25"
Calcium,0.00721248,"597,0.25"
Titanium,0.00158816,"597,0.25"
Chromium,0,"597,0.25"
Manganese,0.00110772,"597,0.25"
Iron,0,"597,0.25"
Nickel,0.00466624,"597,0.25"
Oxygen,0.294107,"597,0.25"
Sodium,0.266387,"597,0.25"
Silicon,0.0415996,"599,0.75"
Phosphorus,0,"600,0.0"
Sulfur,0.000984783,"600,0.25"
Chlorine,0.198612,"600,0.5"
Potassium,0.0137313,"600,0.75"
Manganese,0.00402391,"601,0.0"
Iron,0.111399,"601,0.25"
Bromine,0.0691547,"601,0.5"
Oxygen,0.211278,"601,0.75"
Sodium,0.336678,"602,0.0"
Silicon,0.089558,"602,0.25"
Chlorine,0.0742698,"602,0.5"
Bromine,0.288216,"602,0.5"
Oxygen,0.304368,"602,0.5"
Sodium,0.222246,"602,0.5"
Silicon,0.190581,"602,0.5"
Phosphorus,0,"602,0.5"
Sulfur,0.00107696,"602,0.5"
Chlorine,0.0672064,"602,0.5"
Potassium,0.00971664,"604,0.5"
Manganese,0.00125731,"604,0.75"
Bromine,0.203547,"605,0.0"
Oxygen,0.58965,"605,0.25"
Magnesium,0.00116846,"605,0.5"
Aluminum,0.00105365,"605,0.75"
Silicon,0.135559,"606,0.0"
Phosphorus,0.000917265,"606,0.25"
Sulfur,0.000886089,"606,0.5"
Potassium,0.00218032,"606,0.75"
Calcium,0.000709004,"607,0.0"
Titanium,0.00177976,"607,0.25"
Chromium,0.00163944,"607,0.5"
Manganese,0,"607,0.5"
Iron,0.262036,"607,0.5"
Nickel,0.00242093,"607,0.5"
Oxygen,0.688366,"607,0.5"
Magnesium,0.00164382,"607,0.5"
Aluminum,0.00518806,"607,0.5"
Silicon,0.295314,"607,0.5"
Phosphorus,0.000645218,"607,0.5"
Sulfur,0.000623288,"607,0.5"
Potassium,0.000511224,"607,0.5"
Calcium,0.00149617,"610,0.25"
Titanium,0.000417304,"610,0.5"
Chromium,0.0011532,"610,0.75"
Manganese,0.00145532,"611,0.0"
Iron,0.00250532,"611,0.25"
Nickel,0.000681167,"611,0.5"
Oxygen,0.749809,"611,0.75"
Aluminum,0.0158866,"612,0.0"
Silicon,0.0588338,"612,0.25"
Phosphorus,0,"612,0.5"
Sulfur,0.0890682,"612,0.75"
Calcium,0.0860305,"613,0.0"
Manganese,0.000371368,"613,0.25"
Nitrogen,0.0151994,"613,0.5"
Oxygen,0.670442,"613,0.75"
Magnesium,0.00328347,"614,0.0"
Aluminum,0,"614,0.25"
Silicon,0.114659,"614,0.5"
Phosphorus,0.0790464,"614,0.5"
Sulfur,0.00497999,"614,0.5"
Potassium,0.0020423,"614,0.5"
Calcium,0.0265649,"614,0.5"
Titanium,0.0011114,"614,0.5"
Chromium,0.00204754,"614,0.5"
Manganese,0.00145348,"614,0.5"
Iron,0.00714898,"614,0.5"
Nickel,0.012699,"614,0.5"
Bromine,0.0183182,"617,0.0"
Lanthanum,0.0410039,"617,0.25"
Oxygen,0.616956,"617,0.5"
Magnesium,0.0840394,"617,0.75"
Aluminum,0.0161238,"618,0.0"
Silicon,0.223699,"618,0.25"
Phosphorus,0.00491287,"618,0.5"
Sulfur,0,"618,0.75"
Calcium,0.0162747,"619,0.0"
Manganese,0.00118727,"619,0.25"
Iron,0.0284196,"619,0.5"
Germanium,0.00838687,"619,0.75"
Oxygen,0.334772,"620,0.0"
Sodium,0.28449,"620,0.25"
Silicon,0.0639229,"620,0.5"
Sulfur,0.0218265,"620,0.75"
Chlorine,0.154486,"621,0.0"
Potassium,0.00856193,"621,0.0"
Iron,0.0119882,"621,0.0"
Bromine,0.119953,"621,0.0"
Oxygen,0.605471,"621,0.0"
Sodium,0.00965495,"621,0.0"
Magnesium,0.0102723,"621,0.0"
Silicon,0.0780662,"621,0.0"
Sulfur,0.0882855,"621,0.0"
Chlorine,0.0109592,"621,0.0"
Calcium,0.0754895,"621,0.0"
Iron,0.0238565,"621,0.0"
Bromine,0.0979448,"624,0.0"
Oxygen,0.678417,"624,0.25"
Magnesium,0.0161973,"624,0.5"
Aluminum,0.00568005,"624,0.75"
Silicon,0.0685592,"625,0.0"
Phosphorus,0.0897134,"625,0.25"
Sulfur,0.000682395,"625,0.5"
Potassium,0.00167911,"625,0.75"
Calcium,0.129406,"626,0.0"
Titanium,0.00137063,"626,0.25"
Chromium,0.00168342,"626,0.5"
Manganese,0.00159333,"626,0.75"
Iron,0.00352658,"627,0.0"
Nickel,0.00149153,"627,0.25"
Oxygen,0.530189,"627,0.5"
Magnesium,0.00575591,"627,0.75"
Aluminum,0.0186853,"627,0.75"
Silicon,0.116612,"627,0.75"
Phosphorus,0.0831408,"627,0.75"
Sulfur,0.000872989,"627,0.75"
Chlorine,0.0102639,"627,0.75"
Potassium,0.00143206,"627,0.75"
Calcium,0.138307,"627,0.75"
Titanium,0.00116897,"627,0.75"
Chromium,0.002692,"627,0.75"
Manganese,0.0040767,"627,0.75"
Iron,0.014036,"627,0.75"
Nickel,0.000954056,"627,0.75"
Bromine,0.0718135,"627,0.75"
Oxygen,0.671105,"627,0.75"
Magnesium,0.000829918,"627,0.75"
Aluminum,0.00598698,"627,0.75"
Silicon,0.313281,"627,0.75"
Phosphorus,0,"627,0.75"
Sulfur,0.000629361,"627,0.75"
Potassium,0.00103241,"627,0.75"
Calcium,0.00151075,"627,0.75"
Titanium,0.00084274,"627,0.75"
Chromium,0.00155259,"627,0.75"
Manganese,0.000734751,"627,0.75"
Iron,0.00180695,"627,0.75"
Nickel,0.000687804,"627,0.75"
Oxygen,0.615996,"627,0.75"
Sodium,0.00914173,"627,0.75"
Magnesium,0.024856,"627,0.75"
Silicon,0.136605,"627,0.75"
Phosphorus,0.0500538,"635,0.5"
Sulfur,0.00409767,"635,0.75"
Chlorine,0.00444712,"636,0.0"
Calcium,0.00590176,"636,0.25"
Manganese,0,"636,0.5"
Iron,0.0870593,"636,0.75"
Germanium,0.0181034,"637,0.0"
Bromine,0.0437384,"637,0.25"
Oxygen,0.57158,"637,0.5"
Silicon,0.107096,"637,0.75"
Phosphorus,0.000971051,"638,0.0"
Sulfur,0.000938047,"638,0.25"
Manganese,0,"638,0.5"
Iron,0.319415,"638,0.75"
Oxygen,0.765232,"639,0.0"
Magnesium,0.00859116,"639,0.25"
Silicon,0.0639679,"639,0.25"
Phosphorus,0.00134885,"639,0.25"
Sulfur,0.0723169,"639,0.25"
Chlorine,0.00353531,"639,0.25"
Calcium,0.0651625,"639,0.25"
Manganese,0.000760601,"639,0.25"
Bromine,0.0190846,"639,0.25"
Oxygen,0.343079,"639,0.25"
Sodium,0.199881,"639,0.25"
Silicon,0.09893,"639,0.25"
Phosphorus,0,"642,0.0"
Sulfur,0.0128374,"642,0.25"
Chlorine,0.0938486,"642,0.5"
Potassium,0.0473818,"642,0.75"
Manganese,0.000624462,"643,0.0"
Iron,0.0116715,"643,0.25"
Zinc,0.0110197,"643,0.5"
Bromine,0.180726,"643,0.75"
Oxygen,0.445846,"644,0.0"
Sodium,0.0198966,"644,0.25"
Aluminum,0.0249527,"644,0.5"
Silicon,0.352659,"644,0.75"
Iron,0.156646,"645,0.0"
Oxygen,0.655949,"645,0.25"
Magnesium,0.0127192,"645,0.5"
Aluminum,0.00491549,"645,0.75"
Silicon,0.115628,"646,0.0"
Phosphorus,0.0791659,"646,0.0"
Sulfur,0.000688966,"646,0.0"
Potassium,0.000565093,"646,0.0"
Calcium,0.115768,"646,0.0"
Titanium,0.00138383,"646,0.0"
Chromium,0.00297434,"646,0.0"
Manganese,0.00201084,"646,0.0"
Iron,0.00672547,"646,0.0"
Nickel,0.00150589,"646,0.0"
Oxygen,0.631223,"646,0.0"
Sodium,0.0082077,"646,0.0"
Magnesium,0.0135839,"646,0.0"
Aluminum,0.0166239,"646,0.0"
Silicon,0.104167,"646,0.0"
Phosphorus,0.0723605,"649,0.75"
Sulfur,0.000735801,"650,0.0"
Potassium,0.00241403,"650,0.25"
Calcium,0.111863,"650,0.5"
Titanium,0.000985266,"650,0.75"
Chromium,0.00226895,"651,0.0"
Manganese,0.00214754,"651,0.25"
Iron,0.00633764,"651,0.5"
Nickel,0.000804128,"651,0.75"
Bromine,0.0262781,"652,0.0"
Oxygen,0.158634,"652,0.25"
Sodium,0.0346208,"652,0.25"
Silicon,0.0318909,"652,0.25"
Phosphorus,0,"652,0.25"
Sulfur,0.00465552,"652,0.25"
Chlorine,0.035087,"652,0.25"
Potassium,0.361482,"652,0.25"
Manganese,0,"652,0.25"
Bromine,0.37363,"652,0.25"
Oxygen,0.694212,"652,0.25"
Magnesium,0.00223882,"652,0.25"
Aluminum,0,"655,0.0"
Silicon,0.079472,"655,0.25"
Phosphorus,0.0826035,"655,0.5"
Sulfur,0.000848893,"655,0.75"
Potassium,0.00139253,"656,0.0"
Calcium,0.0353206,"656,0.25"
Titanium,0.000568351,"656,0.5"
Chromium,0,"656,0.75"
Manganese,0.00198209,"657,0.0"
Iron,0.00926152,"657,0.25"
Nickel,0.0204099,"657,0.5"
Bromine,0.0340641,"657,0.75"
Lanthanum,0.037626,"657,0.75"
Oxygen,0.584898,"657,0.75"
Sodium,0.0753151,"657,0.75"
Aluminum,0.130807,"657,0.75"
Silicon,0.125592,"657,0.75"
Phosphorus,0.00954647,"657,0.75"
Sulfur,0.0217376,"657,0.75"
Chlorine,0.0172765,"657,0.75"
Potassium,0.0232321,"657,0.75"
Calcium,0.0115955,"657,0.75"
Oxygen,0.490041,"660,0.5"
Sodium,0.182897,"660,0.75"
Aluminum,0.0163324,"661,0.0"
Silicon,0.158381,"661,0.25"
Phosphorus,0,"661,0.5"
Sulfur,0.111255,"661,0.75"
Chlorine,0.0378873,"662,0.0"
Manganese,0.00320703,"662,0.25"
Oxygen,0.683322,"662,0.5"
Sodium,0.0111629,"662,0.75"
Magnesium,0.0123165,"663,0.0"
Aluminum,0.0182461,"663,0.25"
Silicon,0.0906399,"663,0.5"
Phosphorus,0.0718251,"663,0.75"
Sulfur,0.000667153,"664,0.0"
Potassium,0.00164161,"664,0.25"
Calcium,0.0987571,"664,0.5"
Titanium,0.00134002,"664,0.5"
Chromium,0.00246872,"664,0.5"
Manganese,0.00155774,"664,0.5"
Iron,0.00459708,"664,0.5"
Nickel,0.00145821,"664,0.5"
Oxygen,0.571007,"664,0.5"
Sodium,0.0205681,"664,0.5"
Silicon,0.0999942,"664,0.5"
Phosphorus,0.00095438,"664,0.5"
Sulfur,0.000921942,"667,0.0"
Manganese,0.00215265,"667,0.25"
Iron,0.304402,"667,0.5"
Oxygen,0.659845,"667,0.75"
Sodium,0.089149,"668,0.0"
Aluminum,0.00566153,"668,0.25"
Silicon,0.0566875,"668,0.5"
Phosphorus,0,"668,0.75"
Sulfur,0.124471,"669,0.0"
Chlorine,0.0067666,"669,0.25"
Manganese,0.000397034,"669,0.5"
Iron,0.0570225,"669,0.75"
Oxygen,0.744164,"670,0.0"
Silicon,0.255141,"670,0.25"
Phosphorus,0,"670,0.5"
Sulfur,0,"670,0.75"
Manganese,0.000695731,"671,0.0"
Oxygen,0.654566,"671,0.0"
Magnesium,0.0800373,"671,0.0"
Aluminum,0.0109828,"671,0.0"
Silicon,0.200354,"671,0.0"
Phosphorus,0.00682946,"671,0.0"
Sulfur,0,"671,0.0"
Calcium,0.0105577,"671,0.0"
Manganese,0.00077021,"671,0.0"
Iron,0.0280334,"671,0.0"
Germanium,0.00786964,"671,0.0"
Oxygen,0.303015,"671,0.0"
Sodium,0.223463,"674,0.0"
Magnesium,0,"674,0.25"
Aluminum,0.00687622,"674,0.5"
Silicon,0.0952582,"674,0.75"
Phosphorus,0.000855168,"675,0.0"
Sulfur,0.0016522,"675,0.25"
Chlorine,0.338448,"675,0.5"
Potassium,0.00135515,"675,0.75"
Calcium,0.00198302,"676,0.0"
Titanium,0.00165928,"676,0.25"
Chromium,0.00509483,"676,0.5"
Manganese,0.0077155,"676,0.75"
Iron,0.00901287,"677,0.0"
Nickel,0.00361126,"677,0.25"
Oxygen,0.549859,"677,0.5"
Magnesium,0.0154484,"677,0.75"
Silicon,0.138208,"678,0.0"
Phosphorus,0.0272864,"678,0.25"
Sulfur,0.00195252,"678,0.25"
Chlorine,0.0291367,"678,0.25"
Calcium,0.0179666,"678,0.25"
Manganese,0.00056987,"678,0.25"
Iron,0.0812848,"678,0.25"
Bromine,0.138288,"678,0.25"
Oxygen,0.622627,"678,0.25"
Sodium,0.00510769,"678,0.25"
Magnesium,0.0164236,"678,0.25"
Aluminum,0.00871167,"678,0.25"
Silicon,0.0903347,"678,0.25"
Phosphorus,0.0970758,"681,0.25"
Sulfur,0.000732628,"681,0.5"
Potassium,0.00180271,"681,0.75"
Calcium,0.140691,"682,0.0"
Titanium,0.000981018,"682,0.25"
Chromium,0.000903668,"682,0.5"
Manganese,0.00085531,"682,0.75"
Iron,0.00504825,"683,0.0"
Nickel,0.00160132,"683,0.25"
Lanthanum,0.00710341,"683,0.5"
Carbon,0.106216,"683,0.75"
Oxygen,0.513252,"684,0.0"
Magnesium,0.0327831,"684,0.25"
Aluminum,0.0443429,"684,0.5"
Silicon,0.0548743,"684,0.75"
Phosphorus,0.0017157,"684,0.75"
Sulfur,0,"684,0.75"
Potassium,0.000679697,"684,0.75"
Calcium,0.000663078,"684,0.75"
Titanium,0,"684,0.75"
Chromium,0.0873947,"684,0.75"
Manganese,0,"684,0.75"
Iron,0.152748,"684,0.75"
Nickel,0.000452823,"684,0.75"
Zinc,0.00487785,"684,0.75"
Carbon,0.529922,"684,0.75"
Oxygen,0.370272,"687,0.75"
Magnesium,0,"688,0.0"
Aluminum,0.00233066,"688,0.25"
Silicon,0.0799989,"688,0.5"
Phosphorus,0.000507245,"688,0.75"
Sulfur,0.00098001,"689,0.0"
Potassium,0.000803809,"689,0.25"
Calcium,0.000784155,"689,0.5"
Titanium,0.000656136,"689,0.75"
Chromium,0.000906604,"690,0.0"
Manganese,0.00028603,"690,0.25"
Iron,0.000562738,"690,0.5"
Nickel,0.00294529,"690,0.75"
Bromine,0.00904486,"691,0.0"
Oxygen,0.620268,"691,0.25"
Silicon,0.308633,"691,0.5"
Phosphorus,0,"691,0.75"
Sulfur,0.00853675,"692,0.0"
Chlorine,0.0090074,"692,0.25"
Manganese,0.000415261,"692,0.5"
Iron,0.0257352,"692,0.75"
Bromine,0.0274047,"692,0.75"
Oxygen,0.688331,"692,0.75"
Sodium,0.151025,"692,0.75"
Silicon,0.0341881,"692,0.75"
Phosphorus,0.000659549,"692,0.75"
Sulfur,0.08665,"692,0.75"
Manganese,0,"692,0.75"
Iron,0.0391462,"692,0.75"
Oxygen,0.655506,"692,0.75"
Sodium,0.0134448,"692,0.75"
Magnesium,0.0190727,"692,0.75"
Silicon,0.129351,"692,0.75"
Phosphorus,0.0399266,"696,0.0"
Sulfur,0,"696,0.25"
Calcium,0.00514357,"696,0.5"
Manganese,0,"696,0.75"
Iron,0.0604436,"697,0.0"
Germanium,0.0181049,"697,0.25"
Bromine,0.0590063,"697,0.5"
Oxygen,0.603369,"697,0.75"
Magnesium,0.013456,"698,0.0"
Aluminum,0.00866706,"698,0.25"
Silicon,0.0923685,"698,0.5"
Phosphorus,0.103369,"698,0.75"
Sulfur,0.000728876,"699,0.0"
Potassium,0.00179348,"699,0.25"
Calcium,0.161549,"699,0.5"
Titanium,0.00195199,"699,0.75"
Chromium,0.00314664,"700,0.0"
Manganese,0.00212733,"700,0.25"
Iron,0.00627799,"700,0.25"
Nickel,0.00119484,"700,0.25"
Carbon,0.0729497,"700,0.25"
Oxygen,0.533889,"700,0.25"
Sodium,0.0380924,"700,0.25"
Aluminum,0.0203033,"700,0.25"
Silicon,0.0662787,"700,0.25"
Phosphorus,0,"700,0.25"
Sulfur,0.00170745,"700,0.25"
Chlorine,0.0123537,"700,0.25"
Manganese,0,"700,0.25"
Iron,0.254426,"703,0.25"
Carbon,0.0659848,"703,0.5"
Oxygen,0.587841,"703,0.75"
Magnesium,0.0960413,"704,0.0"
Aluminum,0.00618604,"704,0.25"
Silicon,0.195257,"704,0.5"
Phosphorus,0.000673166,"704,0.75"
Sulfur,0,"705,0.0"
Potassium,0.000533368,"705,0.25"
Calcium,0.00260163,"705,0.5"
Titanium,0.000435379,"705,0.75"
Chromium,0.00120315,"706,0.0"
Manganese,0,"706,0.25"
Iron,0.0418214,"706,0.5"
Nickel,0.00142134,"706,0.5"
Oxygen,0.645912,"706,0.5"
Magnesium,0.00568104,"706,0.5"
Aluminum,0,"706,0.5"
Silicon,0.106241,"706,0.5"
Phosphorus,0.0865191,"706,0.5"
Sulfur,0.00172327,"706,0.5"
Potassium,0.00282686,"706,0.5"
Calcium,0.0303352,"706,0.5"
Titanium,0.00115376,"706,0.5"
Chromium,0.00265698,"706,0.5"
Manganese,0.0100592,"709,0.5"
Iron,0.025233,"709,0.75"
Nickel,0.00847481,"710,0.0"
Bromine,0.0463309,"710,0.25"
Lanthanum,0.0268529,"710,0.5"
Oxygen,0.458871,"710,0.75"
Sodium,0.122966,"711,0.0"
Silicon,0.257304,"711,0.25"
Phosphorus,0,"711,0.5"
Sulfur,0.00178159,"711,0.75"
Chlorine,0.0225578,"712,0.0"
Manganese,0.00207993,"712,0.25"
